Region/Country/Area,"Enrollment in primary, lower secondary and upper secondary education levels",Year,Series,Value,Footnotes,Source
1,"Total, all countries or areas",2015,Students enrolled in upper secondary education (thousands),"257,435",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Upper secondary level (male),67.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2015,Gross enrollment ratio - Upper secondary level (female),65.6,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2022,Students enrolled in primary education (thousands),"770,830",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2022,Gross enrollment ratio - Primary (male),102.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2022,Gross enrollment ratio - Primary (female),100.5,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2022,Students enrolled in lower secondary education (thousands),"356,335",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2022,Gross enrollment ratio - Lower secondary level (male),84.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2022,Gross enrollment ratio - Lower secondary level (female),84.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2022,Students enrolled in upper secondary education (thousands),"283,279",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2022,Gross enrollment ratio - Upper secondary level (male),70.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
1,"Total, all countries or areas",2022,Gross enrollment ratio - Upper secondary level (female),69.2,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2005,Students enrolled in primary education (thousands),"23,023",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2005,Gross enrollment ratio - Primary (male),95.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2005,Gross enrollment ratio - Primary (female),89.3,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2005,Students enrolled in lower secondary education (thousands),"10,029",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2005,Gross enrollment ratio - Lower secondary level (male),86.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2005,Gross enrollment ratio - Lower secondary level (female),81.8,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2005,Students enrolled in upper secondary education (thousands),"6,858",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2005,Gross enrollment ratio - Upper secondary level (male),51.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2005,Gross enrollment ratio - Upper secondary level (female),55.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2010,Students enrolled in primary education (thousands),"23,635",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2010,Gross enrollment ratio - Primary (male),98.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2010,Gross enrollment ratio - Primary (female),92.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2010,Students enrolled in lower secondary education (thousands),"11,130",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2010,Gross enrollment ratio - Lower secondary level (male),95.0,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2010,Gross enrollment ratio - Lower secondary level (female),88.7,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2010,Students enrolled in upper secondary education (thousands),"6,275",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2010,Gross enrollment ratio - Upper secondary level (male),47.4,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2010,Gross enrollment ratio - Upper secondary level (female),51.1,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
15,Northern Africa,2015,Students enrolled in primary education (thousands),"25,874",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
