Reference Area,Time Period,Sex,Age group,Units of measurement,Observation Value,Country/Area Name,Country/Area Code
MDG_Southern Asia,1976,All genders,Not applicable,Number,4234329.13186326,,
MDG_Southern Asia,1976,Female,Not applicable,Number,1825228.31507082,,
MDG_Southern Asia,1975,All genders,Not applicable,Number,3902859.94434504,,
MDG_Southern Asia,1975,Female,Not applicable,Number,1665616.13734454,,
MDG_Southern Asia excluding India,2014,All genders,Not applicable,Number,11468161.6082113,,
MDG_Southern Asia excluding India,2014,Female,Not applicable,Number,5356932.15971571,,
MDG_Southern Asia excluding India,2013,All genders,Not applicable,Number,11897116.888292,,
MDG_Southern Asia excluding India,2013,Female,Not applicable,Number,5544922.55450681,,
MDG_Southern Asia excluding India,2012,All genders,Not applicable,Number,11309568.3604056,,
MDG_Southern Asia excluding India,2012,Female,Not applicable,Number,5258250.11999385,,
MDG_Southern Asia excluding India,2011,All genders,Not applicable,Number,10930711.3659583,,
MDG_Southern Asia excluding India,2011,Female,Not applicable,Number,5081343.47239858,,
MDG_Southern Asia excluding India,2010,All genders,Not applicable,Number,9695616.13181853,,
MDG_Southern Asia excluding India,2010,Female,Not applicable,Number,4485580.29013768,,
MDG_Southern Asia excluding India,2009,All genders,Not applicable,Number,9432264.58596,,
MDG_Southern Asia excluding India,2009,Female,Not applicable,Number,4365468.08433585,,
MDG_Southern Asia excluding India,2008,All genders,Not applicable,Number,9776285.09495065,,
MDG_Southern Asia excluding India,2008,Female,Not applicable,Number,4534267.99931873,,
MDG_Southern Asia excluding India,2007,All genders,Not applicable,Number,9025208.2224029,,
MDG_Southern Asia excluding India,2007,Female,Not applicable,Number,4214211.44612705,,
MDG_Southern Asia excluding India,2006,All genders,Not applicable,Number,8215763.71877595,,
MDG_Southern Asia excluding India,2006,Female,Not applicable,Number,3867730.68410374,,
MDG_Southern Asia excluding India,2005,All genders,Not applicable,Number,6500518.0423318,,
MDG_Southern Asia excluding India,2005,Female,Not applicable,Number,3062965.16199314,,
MDG_Southern Asia excluding India,2004,All genders,Not applicable,Number,5684521.7882756,,
MDG_Southern Asia excluding India,2004,Female,Not applicable,Number,2608036.71021931,,
MDG_Southern Asia excluding India,2003,All genders,Not applicable,Number,5246824.4187026,,
MDG_Southern Asia excluding India,2003,Female,Not applicable,Number,2427381.54514706,,
MDG_Southern Asia excluding India,2002,All genders,Not applicable,Number,5913872.22129327,,
MDG_Southern Asia excluding India,2002,Female,Not applicable,Number,2815694.59891154,,
MDG_Southern Asia excluding India,2001,All genders,Not applicable,Number,7181286.17944039,,
MDG_Southern Asia excluding India,2001,Female,Not applicable,Number,3112103.64417417,,
MDG_Southern Asia excluding India,2000,All genders,Not applicable,Number,7662100.3497567,,
MDG_Southern Asia excluding India,2000,Female,Not applicable,Number,3281132.82926878,,
MDG_Southern Asia excluding India,1999,All genders,Not applicable,Number,7685389.69439068,,
MDG_Southern Asia excluding India,1999,Female,Not applicable,Number,3305496.01784716,,
MDG_Southern Asia excluding India,1998,All genders,Not applicable,Number,8228361.28838356,,
MDG_Southern Asia excluding India,1998,Female,Not applicable,Number,3589510.32353178,,
MDG_Southern Asia excluding India,1997,All genders,Not applicable,Number,6639463.0525262,,
MDG_Southern Asia excluding India,1997,Female,Not applicable,Number,2788831.72459033,,
MDG_Southern Asia excluding India,1996,All genders,Not applicable,Number,6750242.46119962,,
MDG_Southern Asia excluding India,1996,Female,Not applicable,Number,2841526.46073817,,
MDG_Southern Asia excluding India,1995,All genders,Not applicable,Number,6836725.99510262,,
MDG_Southern Asia excluding India,1995,Female,Not applicable,Number,2882291.60583996,,
MDG_Southern Asia excluding India,1994,All genders,Not applicable,Number,6953540.65941829,,
MDG_Southern Asia excluding India,1994,Female,Not applicable,Number,2935352.10151845,,
MDG_Southern Asia excluding India,1993,All genders,Not applicable,Number,7023993.10473528,,
MDG_Southern Asia excluding India,1993,Female,Not applicable,Number,2971676.8135086,,
MDG_Southern Asia excluding India,1992,All genders,Not applicable,Number,7104777.18106424,,
MDG_Southern Asia excluding India,1992,Female,Not applicable,Number,3011275.33384532,,
MDG_Southern Asia excluding India,1991,All genders,Not applicable,Number,7065905.35520249,,
MDG_Southern Asia excluding India,1991,Female,Not applicable,Number,2994124.40921717,,
MDG_Southern Asia excluding India,1990,All genders,Not applicable,Number,7068058.98085158,,
MDG_Southern Asia excluding India,1990,Female,Not applicable,Number,2991870.47175583,,
MDG_Southern Asia excluding India,1989,Female,Not applicable,Number,2972033.63540991,,
MDG_Southern Asia excluding India,1989,All genders,Not applicable,Number,7034413.54777399,,
MDG_Southern Asia excluding India,1988,All genders,Not applicable,Number,7000281.4464678,,
MDG_Southern Asia excluding India,1988,Female,Not applicable,Number,2948466.02531948,,
MDG_Southern Asia excluding India,1987,Female,Not applicable,Number,2819392.18188861,,
MDG_Southern Asia excluding India,1987,All genders,Not applicable,Number,6641215.89511318,,
MDG_Southern Asia excluding India,1986,All genders,Not applicable,Number,6282317.73633237,,
MDG_Southern Asia excluding India,1986,Female,Not applicable,Number,2685811.85322977,,
MDG_Southern Asia excluding India,1985,Female,Not applicable,Number,2547619.08425677,,
MDG_Southern Asia excluding India,1985,All genders,Not applicable,Number,5930732.72237525,,
MDG_Southern Asia excluding India,1984,All genders,Not applicable,Number,5757542.38909606,,
MDG_Southern Asia excluding India,1984,Female,Not applicable,Number,2496711.43436467,,
MDG_Southern Asia excluding India,1983,Female,Not applicable,Number,2349263.53385084,,
MDG_Southern Asia excluding India,1983,All genders,Not applicable,Number,5408614.99984648,,
MDG_Southern Asia excluding India,1982,All genders,Not applicable,Number,5106017.60144218,,
MDG_Southern Asia excluding India,1982,Female,Not applicable,Number,2222142.62299571,,
MDG_Southern Asia excluding India,1981,Female,Not applicable,Number,2105475.45099223,,
MDG_Southern Asia excluding India,1981,All genders,Not applicable,Number,4827551.53411708,,
MDG_Southern Asia excluding India,1980,All genders,Not applicable,Number,4613500.15436417,,
MDG_Southern Asia excluding India,1980,Female,Not applicable,Number,2012182.747728,,
MDG_Southern Asia excluding India,1979,All genders,Not applicable,Number,4389961.13717536,,
MDG_Southern Asia excluding India,1979,Female,Not applicable,Number,1911159.22856712,,
MDG_Southern Asia excluding India,1978,All genders,Not applicable,Number,4141449.86476603,,
MDG_Southern Asia excluding India,1978,Female,Not applicable,Number,1796099.32934095,,
MDG_Southern Asia excluding India,1977,All genders,Not applicable,Number,3907117.03724737,,
MDG_Southern Asia excluding India,1977,Female,Not applicable,Number,1685776.4915384,,
MDG_Southern Asia excluding India,1976,All genders,Not applicable,Number,3665033.13186326,,
MDG_Southern Asia excluding India,1976,Female,Not applicable,Number,1569041.31507082,,
MDG_Southern Asia excluding India,1975,All genders,Not applicable,Number,3381403.94434504,,
MDG_Southern Asia excluding India,1975,Female,Not applicable,Number,1431456.13734454,,
MDG_Sub-Saharan Africa,2014,All genders,Not applicable,Number,17967462.6637311,,
MDG_Sub-Saharan Africa,2014,Female,Not applicable,Number,8931046.31935294,,
MDG_Sub-Saharan Africa,2013,Female,Not applicable,Number,8003965.29001843,,
MDG_Sub-Saharan Africa,2013,All genders,Not applicable,Number,16053168.6317941,,
MDG_Sub-Saharan Africa,2012,Female,Not applicable,Number,7521439.52214204,,
MDG_Sub-Saharan Africa,2012,All genders,Not applicable,Number,15121659.6422262,,
MDG_Sub-Saharan Africa,2011,Female,Not applicable,Number,6685587.8934893,,
MDG_Sub-Saharan Africa,2011,All genders,Not applicable,Number,13364357.1923835,,
MDG_Sub-Saharan Africa,2010,Female,Not applicable,Number,6307064.95980677,,
MDG_Sub-Saharan Africa,2010,All genders,Not applicable,Number,12710067.1840205,,
MDG_Sub-Saharan Africa,2009,Female,Not applicable,Number,5924221.4462646,,
MDG_Sub-Saharan Africa,2009,All genders,Not applicable,Number,12191035.0017932,,
MDG_Sub-Saharan Africa,2008,Female,Not applicable,Number,5527455.4859211,,
MDG_Sub-Saharan Africa,2008,All genders,Not applicable,Number,11212949.4977297,,
MDG_Sub-Saharan Africa,2007,Female,Not applicable,Number,5497452.04336329,,
MDG_Sub-Saharan Africa,2007,All genders,Not applicable,Number,11031915.6837866,,
MDG_Sub-Saharan Africa,2006,Female,Not applicable,Number,6019734.02237905,,
MDG_Sub-Saharan Africa,2006,All genders,Not applicable,Number,12043508.7871797,,
MDG_Sub-Saharan Africa,2005,Female,Not applicable,Number,5357981.06945674,,
MDG_Sub-Saharan Africa,2005,All genders,Not applicable,Number,10820699.1856343,,
MDG_Sub-Saharan Africa,2004,All genders,Not applicable,Number,9992061.30689519,,
MDG_Sub-Saharan Africa,2004,Female,Not applicable,Number,4909540.18826575,,
MDG_Sub-Saharan Africa,2003,All genders,Not applicable,Number,8944276.31182892,,
MDG_Sub-Saharan Africa,2003,Female,Not applicable,Number,4349447.5427004,,
MDG_Sub-Saharan Africa,2002,All genders,Not applicable,Number,7991984.24956924,,
MDG_Sub-Saharan Africa,2002,Female,Not applicable,Number,3890435.19959751,,
MDG_Sub-Saharan Africa,2001,All genders,Not applicable,Number,7051048.39129987,,
MDG_Sub-Saharan Africa,2001,Female,Not applicable,Number,3425281.53946687,,
MDG_Sub-Saharan Africa,2000,All genders,Not applicable,Number,6619554.60180748,,
MDG_Sub-Saharan Africa,2000,Female,Not applicable,Number,3214726.95030759,,
MDG_Sub-Saharan Africa,1999,Female,Not applicable,Number,2915954.42008893,,
MDG_Sub-Saharan Africa,1999,All genders,Not applicable,Number,6003992.31681593,,
MDG_Sub-Saharan Africa,1998,Female,Not applicable,Number,2865433.66649129,,
MDG_Sub-Saharan Africa,1998,All genders,Not applicable,Number,5934334.08891792,,
MDG_Sub-Saharan Africa,1997,Female,Not applicable,Number,2646216.6599248,,
MDG_Sub-Saharan Africa,1997,All genders,Not applicable,Number,5444297.28369691,,
MDG_Sub-Saharan Africa,1996,Female,Not applicable,Number,2550746.49623713,,
MDG_Sub-Saharan Africa,1996,All genders,Not applicable,Number,5243446.75261948,,
MDG_Sub-Saharan Africa,1995,Female,Not applicable,Number,2425533.67289309,,
MDG_Sub-Saharan Africa,1995,All genders,Not applicable,Number,4986297.61173263,,
MDG_Sub-Saharan Africa,1994,Female,Not applicable,Number,2362947.36383735,,
MDG_Sub-Saharan Africa,1994,All genders,Not applicable,Number,4845473.52964091,,
MDG_Sub-Saharan Africa,1993,Female,Not applicable,Number,2306491.84462472,,
MDG_Sub-Saharan Africa,1993,All genders,Not applicable,Number,4724627.32645578,,
MDG_Sub-Saharan Africa,1992,Female,Not applicable,Number,2279339.602138,,
MDG_Sub-Saharan Africa,1992,All genders,Not applicable,Number,4638240.33143471,,
MDG_Sub-Saharan Africa,1991,Female,Not applicable,Number,2213142.12243328,,
MDG_Sub-Saharan Africa,1991,All genders,Not applicable,Number,4496075.1772448,,
MDG_Sub-Saharan Africa,1990,Female,Not applicable,Number,2194315.3266449,,
MDG_Sub-Saharan Africa,1990,All genders,Not applicable,Number,4399621.825959,,
MDG_Sub-Saharan Africa,1989,Female,Not applicable,Number,2131241.73463938,,
MDG_Sub-Saharan Africa,1989,All genders,Not applicable,Number,4279920.84792965,,
MDG_Sub-Saharan Africa,1988,Female,Not applicable,Number,2057980.88508549,,
MDG_Sub-Saharan Africa,1988,All genders,Not applicable,Number,4149413.74223872,,
MDG_Sub-Saharan Africa,1987,Female,Not applicable,Number,1956881.24774141,,
MDG_Sub-Saharan Africa,1987,All genders,Not applicable,Number,3951163.67247321,,
MDG_Sub-Saharan Africa,1986,Female,Not applicable,Number,1793234.42914332,,
MDG_Sub-Saharan Africa,1986,All genders,Not applicable,Number,3685343.95300888,,
MDG_Sub-Saharan Africa,1985,Female,Not applicable,Number,1721601.37484411,,
MDG_Sub-Saharan Africa,1985,All genders,Not applicable,Number,3513870.12655388,,
MDG_Sub-Saharan Africa,1984,Female,Not applicable,Number,1691039.06612359,,
MDG_Sub-Saharan Africa,1984,All genders,Not applicable,Number,3456349.61816953,,
MDG_Sub-Saharan Africa,1983,All genders,Not applicable,Number,3398966.74788598,,
MDG_Sub-Saharan Africa,1983,Female,Not applicable,Number,1662234.62491967,,
MDG_Sub-Saharan Africa,1982,All genders,Not applicable,Number,3408955.28072708,,
MDG_Sub-Saharan Africa,1981,All genders,Not applicable,Number,3358131.11036952,,
MDG_Sub-Saharan Africa,1980,All genders,Not applicable,Number,3286882.56050084,,
MDG_Sub-Saharan Africa,1979,All genders,Not applicable,Number,3155029.09346817,,
MDG_Sub-Saharan Africa,1978,All genders,Not applicable,Number,3031828.65854179,,
MDG_Sub-Saharan Africa,1977,All genders,Not applicable,Number,2891059.37157322,,
MDG_Sub-Saharan Africa,1976,All genders,Not applicable,Number,2762118.54320568,,
MDG_Sub-Saharan Africa,1975,All genders,Not applicable,Number,2648725.17902127,,
MDG_Western Asia,2014,All genders,Not applicable,Number,2459335.16698,,
MDG_Western Asia,2014,Female,Not applicable,Number,1206479.10916111,,
MDG_Western Asia,2013,All genders,Not applicable,Number,2316027.5356935,,
MDG_Western Asia,2013,Female,Not applicable,Number,1145223.79378881,,
MDG_Western Asia,2012,All genders,Not applicable,Number,2431589.59286755,,
MDG_Western Asia,2012,Female,Not applicable,Number,1195333.34000035,,
MDG_Western Asia,2011,Female,Not applicable,Number,1132655.8135426,,
MDG_Western Asia,2011,All genders,Not applicable,Number,2320488.260426,,
MDG_Western Asia,2010,All genders,Not applicable,Number,2105658.83013585,,
MDG_Western Asia,2010,Female,Not applicable,Number,1020809.26433858,,
MDG_Western Asia,2009,Female,Not applicable,Number,916110.379387118,,
MDG_Western Asia,2009,All genders,Not applicable,Number,1900530.3799309,,
MDG_Western Asia,2008,All genders,Not applicable,Number,1775549.57858185,,
MDG_Western Asia,2008,Female,Not applicable,Number,851461.73382947,,
MDG_Western Asia,2007,Female,Not applicable,Number,799503.805839542,,
MDG_Western Asia,2007,All genders,Not applicable,Number,1665943.3525588,,
MDG_Western Asia,2006,All genders,Not applicable,Number,1556068.04545502,,
MDG_Western Asia,2006,Female,Not applicable,Number,746010.415092032,,
MDG_Western Asia,2005,Female,Not applicable,Number,673292.659380192,,
MDG_Western Asia,2005,All genders,Not applicable,Number,1405963.76652239,,
MDG_Western Asia,2004,Female,Not applicable,Number,619668.294236896,,
MDG_Western Asia,2004,All genders,Not applicable,Number,1295268.46816528,,
MDG_Western Asia,2003,Female,Not applicable,Number,566961.418609689,,
MDG_Western Asia,2003,All genders,Not applicable,Number,1186255.13570398,,
MDG_Western Asia,2002,Female,Not applicable,Number,543172.202230748,,
MDG_Western Asia,2002,All genders,Not applicable,Number,1139202.17253225,,
MDG_Western Asia,2001,Female,Not applicable,Number,522189.891865362,,
MDG_Western Asia,2001,All genders,Not applicable,Number,1095375.04852318,,
MDG_Western Asia,2000,Female,Not applicable,Number,511499.968214108,,
MDG_Western Asia,2000,All genders,Not applicable,Number,1074279.68498953,,
MDG_Western Asia,1999,Female,Not applicable,Number,497399.17197594,,
MDG_Western Asia,1999,All genders,Not applicable,Number,1047218.26048934,,
MDG_Western Asia,1998,Female,Not applicable,Number,452339.547130015,,
MDG_Western Asia,1998,All genders,Not applicable,Number,954164.25890631,,
MDG_Western Asia,1997,Female,Not applicable,Number,419993.599953286,,
MDG_Western Asia,1997,All genders,Not applicable,Number,885989.695929654,,
MDG_Western Asia,1996,All genders,Not applicable,Number,838268.057927616,,
MDG_Western Asia,1996,Female,Not applicable,Number,396707.393651243,,
MDG_Western Asia,1995,All genders,Not applicable,Number,805356.860141795,,
MDG_Western Asia,1995,Female,Not applicable,Number,381461.439710409,,
MDG_Western Asia,1994,All genders,Not applicable,Number,790596.985638923,,
MDG_Western Asia,1994,Female,Not applicable,Number,373815.714546961,,
MDG_Western Asia,1993,All genders,Not applicable,Number,756828.174599539,,
MDG_Western Asia,1993,Female,Not applicable,Number,358658.424270908,,
MDG_Western Asia,1992,All genders,Not applicable,Number,706460.38727325,,
MDG_Western Asia,1992,Female,Not applicable,Number,334766.49541348,,
MDG_Western Asia,1991,All genders,Not applicable,Number,680248.547851616,,
MDG_Western Asia,1991,Female,Not applicable,Number,322017.440100766,,
MDG_Western Asia,1990,All genders,Not applicable,Number,677837.409552154,,
MDG_Western Asia,1990,Female,Not applicable,Number,319150.304965936,,
MDG_Western Asia,1989,Female,Not applicable,Number,304448.726396548,,
MDG_Western Asia,1989,All genders,Not applicable,Number,646595.8002771,,
MDG_Western Asia,1988,Female,Not applicable,Number,291471.9292456,,
MDG_Western Asia,1988,All genders,Not applicable,Number,615981.679464046,,
MDG_Western Asia,1987,Female,Not applicable,Number,281361.167756308,,
MDG_Western Asia,1987,All genders,Not applicable,Number,596499.967357762,,
MDG_Western Asia,1986,Female,Not applicable,Number,274006.44498293,,
MDG_Western Asia,1986,All genders,Not applicable,Number,578695.5044793,,
MDG_Western Asia,1985,Female,Not applicable,Number,245934.215811843,,
MDG_Western Asia,1985,All genders,Not applicable,Number,518115.1831531,,
MDG_Western Asia,1984,Female,Not applicable,Number,197530.209860679,,
MDG_Western Asia,1984,All genders,Not applicable,Number,417356.539522796,,
MDG_Western Asia,1983,Female,Not applicable,Number,190425.18831803,,
MDG_Western Asia,1983,All genders,Not applicable,Number,405941.099535446,,
MDG_Western Asia,1982,Female,Not applicable,Number,180892.03987409,,
MDG_Western Asia,1982,All genders,Not applicable,Number,384683.84872085,,
MDG_Western Asia,1981,Female,Not applicable,Number,168235.695794529,,
MDG_Western Asia,1981,All genders,Not applicable,Number,359578.7907101,,
MDG_Western Asia,1980,All genders,Not applicable,Number,340267.7503716,,
MDG_Western Asia,1980,Female,Not applicable,Number,159045.558419234,,
MDG_Western Asia,1979,Female,Not applicable,Number,150847.425876065,,
MDG_Western Asia,1979,All genders,Not applicable,Number,324159.0617574,,
MDG_Western Asia,1978,All genders,Not applicable,Number,303125.6732872,,
MDG_Western Asia,1978,Female,Not applicable,Number,140933.937926582,,
MDG_Western Asia,1977,Female,Not applicable,Number,141674.91865123,,
MDG_Western Asia,1977,All genders,Not applicable,Number,305216.23020835,,
MDG_Western Asia,1976,All genders,Not applicable,Number,294860.913792317,,
MDG_Western Asia,1976,Female,Not applicable,Number,136773.815850953,,
MDG_Western Asia,1975,Female,Not applicable,Number,130525.163452973,,
MDG_Western Asia,1975,All genders,Not applicable,Number,282354.6812475,,
