Year,Region/Country/Area,Gross enrollment ratio - Lower secondary level (female),Gross enrollment ratio - Lower secondary level (male),Gross enrollment ratio - Primary (female),Gross enrollment ratio - Primary (male),Gross enrollment ratio - Upper secondary level (female),Gross enrollment ratio - Upper secondary level (male),Students enrolled in lower secondary education (thousands),Students enrolled in primary education (thousands),Students enrolled in upper secondary education (thousands)
2010,20,95.0,93.8,89.2,91.0,90.7,72.6,3.0,4.0,1.0
2010,36,,,105.2,105.8,,,,0.0,
2010,40,102.2,102.8,100.3,101.4,94.7,101.6,361.0,328.0,383.0
2010,53,115.3,121.3,104.3,104.7,196.4,214.3,0.0,0.0,0.0
2010,56,140.7,136.1,102.1,102.4,186.3,157.4,339.0,732.0,864.0
2010,70,90.8,91.7,88.8,88.3,77.5,74.9,176.0,175.0,147.0
2010,100,119.1,125.7,101.1,101.6,79.2,81.7,225.0,260.0,307.0
2010,112,98.5,101.0,96.6,98.6,129.4,141.4,468.0,358.0,294.0
2010,124,99.6,100.2,99.4,98.9,102.2,105.1,799.0,0.0,0.0
2010,156,107.6,104.2,105.2,104.8,78.5,78.7,0.0,0.0,0.0
2010,191,106.9,103.9,98.0,98.2,97.7,87.3,208.0,167.0,181.0
2010,196,96.6,96.6,101.6,101.6,88.1,86.0,31.0,55.0,33.0
2010,203,102.7,103.1,100.9,101.1,96.2,94.6,379.0,463.0,458.0
2010,208,116.8,115.0,100.2,100.1,122.3,121.8,248.0,403.0,256.0
2010,233,106.2,112.0,99.3,99.9,114.4,110.3,42.0,73.0,53.0
2010,246,100.3,100.8,99.4,100.0,121.6,111.2,193.0,347.0,234.0
2010,250,102.7,103.1,102.1,103.4,112.7,109.6,0.0,0.0,0.0
2010,268,108.3,111.4,105.6,109.2,,,167.0,289.0,
2010,276,102.9,103.9,104.1,104.6,101.2,113.8,0.0,0.0,0.0
2010,308,124.3,130.1,104.7,108.5,104.8,81.3,8.0,14.0,4.0
2010,344,98.8,102.0,104.7,106.2,79.8,78.2,241.0,349.0,267.0
2010,348,100.5,103.2,99.8,101.1,101.9,102.3,419.0,388.0,486.0
2010,352,98.3,98.9,98.8,98.8,118.2,114.0,13.0,30.0,22.0
2010,356,81.0,84.4,113.2,111.9,48.5,54.9,0.0,0.0,0.0
2010,372,108.3,106.6,103.3,103.2,141.6,126.9,183.0,506.0,154.0
2010,380,105.2,107.5,100.5,101.1,98.7,98.4,0.0,0.0,0.0
2010,410,99.9,100.1,100.7,100.9,94.8,94.6,0.0,0.0,0.0
2010,428,104.0,108.2,101.9,103.9,100.7,100.0,64.0,114.0,83.0
2010,438,103.0,103.1,102.3,108.6,96.2,137.6,2.0,2.0,2.0
2010,440,102.3,105.6,99.8,101.0,108.3,106.8,238.0,122.0,105.0
2010,442,114.4,112.1,98.5,97.5,91.5,88.3,21.0,35.0,21.0
2010,446,102.6,107.2,99.6,102.7,82.1,76.8,20.0,25.0,18.0
2010,470,105.6,108.7,102.0,103.2,86.6,113.5,26.0,25.0,11.0
2010,484,118.4,108.8,110.2,111.7,62.7,59.0,0.0,0.0,0.0
2010,492,,,,,,,2.0,2.0,1.0
2010,498,88.2,89.5,93.3,93.7,90.7,81.9,208.0,141.0,100.0
2010,499,106.7,111.1,104.2,109.0,89.4,87.9,38.0,35.0,32.0
2010,528,127.2,134.1,106.2,107.3,120.2,117.0,762.0,0.0,713.0
2010,554,102.5,103.4,99.1,98.9,145.9,134.1,249.0,348.0,263.0
2010,578,99.8,99.9,99.6,99.6,124.6,127.4,192.0,424.0,243.0
2010,616,99.4,102.1,98.2,99.0,99.8,99.6,0.0,0.0,0.0
2010,620,113.7,115.8,108.1,111.3,104.5,96.6,379.0,734.0,341.0
2010,642,97.8,98.9,99.5,100.5,105.8,107.1,869.0,842.0,953.0
2010,674,90.4,94.7,98.4,87.9,98.0,90.8,1.0,2.0,1.0
2010,688,100.2,100.8,94.2,94.7,87.6,83.5,304.0,283.0,287.0
2010,703,95.4,96.7,101.5,101.8,95.1,92.0,280.0,212.0,269.0
2010,705,95.3,95.6,98.1,98.0,100.0,101.3,55.0,107.0,83.0
2010,724,118.0,119.4,100.9,101.5,135.5,124.6,0.0,0.0,0.0
2010,752,101.8,103.0,99.0,99.4,101.7,102.6,337.0,576.0,394.0
2010,756,113.5,110.5,103.3,103.5,82.5,89.0,290.0,493.0,316.0
2010,804,105.8,105.7,100.6,99.6,78.3,85.7,0.0,0.0,844.0
2010,826,107.5,111.4,105.4,106.0,100.9,97.3,0.0,0.0,0.0
2012,156,106.0,102.7,103.8,103.1,84.4,82.2,0.0,0.0,0.0
2014,616,99.0,102.6,99.7,99.5,116.1,120.5,0.0,0.0,0.0
2015,8,105.5,108.6,111.5,115.0,91.5,105.3,175.0,188.0,140.0
